Tag,Percent
,
html,0
,
head,0
,
body,0
,
title,0
,
meta,0
,
div,1
,
a,1
,
script,0
,
link,0
,
img,0
,
span,1
,
p,1
,
li,1
,
ul,1
,
style,0
,
br,1
,
h1,1
,
h2,1
,
input,0
,
form,0
,
h3,1
,
iframe,0
,
nav,0
,
strong,1
,
footer,0
,
header,1
,
button,0
,
i,1
,
article,1
,
section,1
,
main,1
,
h4,1
,
title,1
,
u,1
,
ol,1
,
h5,1
,
h6,1
,
table,1
,
td,1
,
tr,1
,
tbody,1
,
small,1
,
sup,1
,
ins,1
,
sub,1
,
del,1
,
mark,1
,
b,1
